ID,Team,Games,Event,Medal
1017,United States,2012 Summer,Swimming Mens 100 metres Freestyle,Gold
1017,United States,2012 Summer,Swimming Mens 4 x 100 metres Freestyle Relay,Silver
1017,United States,2012 Summer,Swimming Mens 4 x 100 metres Medley Relay,Gold
1017,United States,2016 Summer,Swimming Mens 50 metres Freestyle,Bronze
1017,United States,2016 Summer,Swimming Mens 100 metres Freestyle,Bronze
1017,United States,2016 Summer,Swimming Mens 4 x 100 metres Freestyle Relay,Gold
1017,United States,2016 Summer,Swimming Mens 4 x 100 metres Medley Relay,Gold
1020,Brazil,1996 Summer,Basketball Womens Basketball,Silver
1020,Brazil,2000 Summer,Basketball Womens Basketball,Bronze
1023,Brazil,2000 Summer,Basketball Womens Basketball,Bronze
1025,Hungary,1996 Summer,Canoeing Mens Kayak Fours 1000 metres,Silver
1046,Germany,1964 Summer,Rowing Mens Coxed Eights,Silver
1071,Russia,2012 Summer,Gymnastics Womens Team All-Around,Silver
1085,Russia,2002 Winter,Ice Hockey Mens Ice Hockey,Bronze
1088,Nigeria,1996 Summer,Athletics Womens 4 x 400 metres Relay,Silver
1094,Romania,1976 Summer,Rowing Womens Coxed Quadruple Sculls,Bronze
1095,South Africa,2016 Summer,Rugby Sevens Mens Rugby Sevens,Bronze
1104,Pakistan,1964 Summer,Hockey Mens Hockey,Silver
1107,South Africa,2016 Summer,Rugby Sevens Mens Rugby Sevens,Bronze
1109,Romania,1984 Summer,Gymnastics Womens Team All-Around,Gold
1109,Romania,1984 Summer,Gymnastics Womens Horse Vault,Bronze
1114,Italy,2004 Summer,Rowing Mens Coxless Fours,Bronze
1114,Italy,2008 Summer,Rowing Mens Quadruple Sculls,Silver
1122,United States,1996 Summer,Tennis Mens Singles,Gold
1131,France,2016 Summer,Judo Womens Half-Middleweight,Silver
1147,Soviet Union,1956 Summer,Water Polo Mens Water Polo,Bronze
1147,Soviet Union,1960 Summer,Water Polo Mens Water Polo,Silver
1147,Soviet Union,1964 Summer,Water Polo Mens Water Polo,Bronze
1169,Netherlands,2008 Summer,Hockey Womens Hockey,Gold
1169,Netherlands,2012 Summer,Hockey Womens Hockey,Gold
1173,France,2012 Summer,Swimming Mens 200 metres Freestyle,Gold
1173,France,2012 Summer,Swimming Mens 4 x 100 metres Freestyle Relay,Gold
1173,France,2012 Summer,Swimming Mens 4 x 200 metres Freestyle Relay,Silver
1181,Canada,2006 Winter,Ice Hockey Womens Ice Hockey,Gold
1181,Canada,2010 Winter,Ice Hockey Womens Ice Hockey,Gold
1181,Canada,2014 Winter,Ice Hockey Womens Ice Hockey,Gold
1188,United States-1,2006 Winter,Figure Skating Mixed Ice Dancing,Silver
1191,Hungary,1964 Summer,Fencing Womens Foil Team,Gold
1192,Italy,1928 Summer,Fencing Mens epee Team,Gold
1192,Italy,1932 Summer,Fencing Mens epee Individual,Bronze
1192,Italy,1932 Summer,Fencing Mens epee Team,Silver
1192,Italy,1948 Summer,Fencing Mens epee Team,Silver
1201,Sweden,1936 Summer,Boxing Mens Lightweight,Bronze
1208,Large boat Central Naval Prep School Poros-1,1906 Summer,Rowing Mens 17-Man Naval Rowing Boats,Gold
1211,Netherlands,1928 Summer,Gymnastics Womens Team All-Around,Gold
1220,Argentina,2008 Summer,Football Mens Football,Gold
1221,Cuba,2000 Summer,Volleyball Womens Volleyball,Gold
1249,Cuba,1980 Summer,Boxing Mens Light-Welterweight,Bronze
1254,Spain,2012 Summer,Handball Womens Handball,Bronze
1262,Spain,2016 Summer,Rhythmic Gymnastics Womens Group,Silver
1270,Cuba,1992 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
1301,Indonesia,2016 Summer,Weightlifting Womens Flyweight,Silver
1313,United States,2008 Summer,Volleyball Womens Volleyball,Silver
1322,United States,1972 Winter,Ice Hockey Mens Ice Hockey,Silver
1323,Great Britain,1908 Summer,Athletics Mens Triple Jump,Gold
1333,Finland,1932 Summer,Boxing Mens Welterweight,Bronze
1336,Sweden,1980 Winter,Ice Hockey Mens Ice Hockey,Bronze
1340,Sweden,2002 Winter,Ice Hockey Womens Ice Hockey,Bronze
1341,Sweden,1924 Winter,Curling Mens Curling,Silver
1342,Sweden,1984 Winter,Ice Hockey Mens Ice Hockey,Bronze
1346,Finland,1924 Summer,Wrestling Mens Bantamweight Greco-Roman,Silver
1348,Sweden,1912 Summer,Wrestling Mens Middleweight B Greco-Roman,Silver
1350,United States,1948 Summer,Rowing Mens Coxed Eights,Gold
1356,Germany,2004 Summer,Equestrianism Mixed Jumping Team,Bronze
1356,Germany,2016 Summer,Equestrianism Mixed Jumping Team,Bronze
1359,Sweden,1932 Summer,Boxing Mens Lightweight,Silver
1364,Sweden,1952 Summer,Football Mens Football,Bronze
