ID,Team,Games,Event,Medal
3990,Sweden,1948 Summer,Football Mens Football,Gold
3993,Sweden,1936 Summer,Wrestling Mens Welterweight Freestyle,Silver
3995,Sweden,1928 Winter,Cross Country Skiing Mens 50 kilometres,Bronze
3996,Sweden,1912 Summer,Water Polo Mens Water Polo,Silver
3996,Sweden,1920 Summer,Water Polo Mens Water Polo,Bronze
3997,Sweden,1952 Winter,Ice Hockey Mens Ice Hockey,Bronze
3998,Sweden,1952 Winter,Ice Hockey Mens Ice Hockey,Bronze
4005,East Germany,1980 Winter,Cross Country Skiing Womens 4 x 5 kilometres Relay,Gold
4007,Soviet Union,1976 Summer,Wrestling Mens Super-Heavyweight Freestyle,Gold
4007,Soviet Union,1980 Summer,Wrestling Mens Super-Heavyweight Freestyle,Gold
4013,Japan,1976 Summer,Weightlifting Mens Bantamweight,Bronze
4014,Japan,2012 Summer,Football Womens Football,Silver
4018,Japan,2000 Summer,Softball Womens Softball,Silver
4021,Japan,2004 Summer,Baseball Mens Baseball,Bronze
4029,Argentina,1936 Summer,Polo Mens Polo,Gold
4030,Brazil,1988 Summer,Football Mens Football,Silver
4042,Uruguay,1924 Summer,Football Mens Football,Gold
4042,Uruguay,1928 Summer,Football Mens Football,Gold
4055,Brazil,1996 Summer,Football Mens Football,Bronze
4057,United States,1956 Summer,Modern Pentathlon Mens Team,Silver
4059,France,1908 Summer,Athletics Mens High Jump,Silver
4059,France,1920 Summer,Athletics Mens 4 x 400 metres Relay,Bronze
4060,France,1924 Winter,Curling Mens Curling,Bronze
4071,Brazil,1984 Summer,Football Mens Football,Silver
4083,United States,1964 Summer,Diving Mens Springboard,Bronze
4085,Norway,1998 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Bronze
4085,Norway,2002 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Silver
4087,Norway,1976 Summer,Rowing Mens Coxless Fours,Silver
4094,Italy,1984 Summer,Athletics Mens Shot Put,Gold
4100,Romania,1980 Summer,Wrestling Mens Heavyweight Greco-Roman,Bronze
4100,Romania,1984 Summer,Wrestling Mens Heavyweight Greco-Roman,Gold
4101,Brazil,2004 Summer,Football Womens Football,Silver
4101,Brazil,2008 Summer,Football Womens Football,Silver
4108,Italy,1920 Summer,Gymnastics Mens Team All-Around,Gold
4109,Italy,1964 Summer,Cycling Mens 100 kilometres Team Time Trial,Silver
4110,Switzerland,1928 Winter,Ice Hockey Mens Ice Hockey,Bronze
4111,Switzerland,1928 Winter,Ice Hockey Mens Ice Hockey,Bronze
4116,Greece,1896 Summer,Swimming Mens 1200 metres Freestyle,Silver
4121,Switzerland,1998 Winter,Curling Mens Curling,Gold
4124,Norway,1998 Winter,Biathlon Mens 10 kilometres Sprint,Silver
4124,Norway,2002 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Gold
4124,Norway,2006 Winter,Biathlon Mens 10 kilometres Sprint,Bronze
4145,Australia,1960 Summer,Swimming Womens 100 metres Butterfly,Bronze
4145,Australia,1960 Summer,Swimming Womens 4 x 100 metres Medley Relay,Silver
4153,United States,1904 Summer,Cycling Mens 5 mile,Bronze
4153,United States,1904 Summer,Cycling Mens 25 mile,Silver
4161,Great Britain,2014 Winter,Curling Mens Curling,Silver
4163,Australia,1996 Summer,Hockey Womens Hockey,Gold
4165,United States,1984 Summer,Swimming Womens 100 metres Backstroke,Gold
4165,United States,1984 Summer,Swimming Womens 4 x 100 metres Medley Relay,Gold
4166,Canada,1908 Summer,Cycling Mens Team Pursuit 1980 yards,Bronze
4168,Soviet Union,1952 Summer,Shooting Mens Small-Bore Rifle Three Positions 50 metres,Bronze
4168,Soviet Union,1952 Summer,Shooting Mens Small-Bore Rifle Prone 50 metres,Silver
4173,Soviet Union,1980 Summer,Football Mens Football,Bronze
4176,Soviet Union,1968 Summer,Basketball Mens Basketball,Bronze
4179,Russia,2000 Summer,Athletics Mens 20 kilometres Walk,Bronze
4187,Soviet Union,1980 Summer,Volleyball Womens Volleyball,Gold
4189,Greece,1896 Summer,Gymnastics Mens Rope Climbing,Gold
4198,Soviet Union,1972 Summer,Gymnastics Mens Team All-Around,Silver
4198,Soviet Union,1972 Summer,Gymnastics Mens Floor Exercise,Gold
4198,Soviet Union,1972 Summer,Gymnastics Mens Horse Vault,Bronze
4198,Soviet Union,1976 Summer,Gymnastics Mens Individual All-Around,Gold
4198,Soviet Union,1976 Summer,Gymnastics Mens Team All-Around,Silver
4198,Soviet Union,1976 Summer,Gymnastics Mens Floor Exercise,Gold
4198,Soviet Union,1976 Summer,Gymnastics Mens Horse Vault,Gold
4198,Soviet Union,1976 Summer,Gymnastics Mens Parallel Bars,Silver
4198,Soviet Union,1976 Summer,Gymnastics Mens Rings,Gold
4198,Soviet Union,1976 Summer,Gymnastics Mens Pommelled Horse,Bronze
4198,Soviet Union,1980 Summer,Gymnastics Mens Individual All-Around,Silver
4198,Soviet Union,1980 Summer,Gymnastics Mens Team All-Around,Gold
4198,Soviet Union,1980 Summer,Gymnastics Mens Floor Exercise,Silver
4198,Soviet Union,1980 Summer,Gymnastics Mens Horse Vault,Gold
4198,Soviet Union,1980 Summer,Gymnastics Mens Horizontal Bar,Bronze
4201,Soviet Union,1972 Summer,Football Mens Football,Bronze
4202,Yugoslavia,1984 Summer,Water Polo Mens Water Polo,Gold
4202,Yugoslavia,1988 Summer,Water Polo Mens Water Polo,Gold
4207,France,1996 Summer,Rowing Mens Coxless Pairs,Bronze
4207,France,2000 Summer,Rowing Mens Coxless Pairs,Gold
4209,Romania,1996 Summer,Canoeing Mens Canadian Doubles 500 metres,Bronze
4211,Ukraine,2012 Summer,Wrestling Mens Heavyweight Freestyle,Silver
4229,Czechoslovakia,1964 Summer,Rowing Mens Double Sculls,Bronze
4236,Austria,1928 Summer,Weightlifting Mens Featherweight,Gold
4240,Russia,2008 Summer,Handball Womens Handball,Silver
4242,Poland,1968 Summer,Fencing Mens epee Team,Bronze
4243,Poland,2008 Summer,Fencing Mens epee Team,Silver
4256,Italy,2006 Winter,Speed Skating Mens Team Pursuit (8 laps),Gold
4268,Argentina,1928 Summer,Fencing Mens Foil Team,Bronze
4284,Italy,1996 Summer,Water Polo Mens Water Polo,Bronze
4297,Bulgaria,1972 Summer,Boxing Mens Light-Welterweight,Silver
4304,Bulgaria,1972 Summer,Wrestling Mens Light-Flyweight Greco-Roman,Bronze
4304,Bulgaria,1976 Summer,Wrestling Mens Light-Flyweight Greco-Roman,Bronze
4305,Bulgaria,1980 Summer,Volleyball Mens Volleyball,Silver
4320,Germany,2008 Summer,Football Womens Football,Bronze
4321,West Germany,1980 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Bronze
4321,West Germany,1984 Winter,Biathlon Mens 10 kilometres Sprint,Silver
4321,West Germany,1984 Winter,Biathlon Mens 20 kilometres,Gold
4321,West Germany,1984 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Bronze
4321,West Germany,1988 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Silver
4322,Germany,2002 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Bronze
4322,Germany,2006 Winter,Cross Country Skiing Mens 15 kilometres,Bronze
4322,Germany,2006 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
4322,Germany,2010 Winter,Cross Country Skiing Mens 30 km Skiathlon,Silver
4335,Italy,1964 Summer,Equestrianism Mixed Three-Day Event Team,Gold
4340,United States,1996 Summer,Wrestling Mens Heavyweight Freestyle,Gold
4341,Italy,1956 Summer,Fencing Mens epee Team,Gold
4348,Switzerland-1,1956 Winter,Bobsleigh Mens Four,Gold
4349,Switzerland-1,1956 Winter,Bobsleigh Mens Two,Bronze
4356,Spain,2000 Summer,Football Mens Football,Silver
4359,Hungary,1976 Summer,Handball Womens Handball,Bronze
4369,Nigeria,2008 Summer,Football Mens Football,Silver
4374,Russia,2000 Summer,Water Polo Womens Water Polo,Bronze
4375,Soviet Union,1956 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
4375,Soviet Union,1960 Winter,Cross Country Skiing Mens 30 kilometres,Bronze
4375,Soviet Union,1960 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Bronze
4388,Soviet Union,1988 Summer,Handball Womens Handball,Bronze
4388,Unified Team,1992 Summer,Handball Womens Handball,Bronze
4390,Soviet Union,1976 Summer,Athletics Womens 100 metres Hurdles,Silver
4391,Soviet Union,1976 Summer,Athletics Womens 4 x 100 metres Relay,Bronze
4391,Soviet Union,1980 Summer,Athletics Womens 4 x 100 metres Relay,Silver
4392,France-1,1998 Winter,Figure Skating Mixed Ice Dancing,Bronze
4392,France-1,2002 Winter,Figure Skating Mixed Ice Dancing,Gold
4393,Romania,1988 Summer,Rowing Womens Coxed Fours,Bronze
4393,Romania,1988 Summer,Rowing Womens Coxed Eights,Silver
4400,East Germany,1976 Summer,Swimming Womens 100 metres Breaststroke,Gold
4400,East Germany,1976 Summer,Swimming Womens 4 x 100 metres Medley Relay,Gold
4405,Netherlands,1928 Summer,Hockey Mens Hockey,Silver
4410,Yugoslavia,1960 Summer,Football Mens Football,Gold
4418,Australia,1996 Summer,Hockey Womens Hockey,Gold
4418,Australia,2000 Summer,Hockey Womens Hockey,Gold
4423,Switzerland-2,2002 Winter,Bobsleigh Mens Two,Bronze
4423,Switzerland-1,2006 Winter,Bobsleigh Mens Two,Bronze
4423,Switzerland-1,2006 Winter,Bobsleigh Mens Four,Bronze
4432,Great Britain,1920 Summer,Swimming Mens 4 x 200 metres Freestyle Relay,Bronze
4435,Japan,2004 Summer,Judo Womens Half-Heavyweight,Gold
4436,Italy,1920 Summer,Rowing Mens Double Sculls,Silver
4447,Russia,2016 Summer,Canoeing Mens Kayak Singles 1000 metres,Bronze
4449,Iran,2012 Summer,Weightlifting Mens Super-Heavyweight,Silver
4450,Soviet Union,1976 Summer,Handball Mens Handball,Gold
4450,Soviet Union,1980 Summer,Handball Mens Handball,Silver
4452,France,1952 Summer,Cycling Mens Road Race Team,Bronze
4457,Germany,2006 Winter,Speed Skating Womens Team Pursuit (6 laps),Gold
4457,Germany,2010 Winter,Speed Skating Womens Team Pursuit (6 laps),Gold
4460,Italy,1924 Summer,Fencing Mens Sabre Team,Gold
4460,Italy,1928 Summer,Fencing Mens Sabre Team,Silver
4460,Italy,1932 Summer,Fencing Mens Sabre Team,Silver
4462,Switzerland,2000 Summer,Shooting Mens Rapid-Fire Pistol 25 metres,Silver
4466,Great Britain,2016 Summer,Hockey Womens Hockey,Gold
4471,Belgium,1912 Summer,Fencing Mens epee Team,Gold
4472,Belgium,1908 Summer,Fencing Mens epee Team,Bronze
4472,Belgium,1912 Summer,Fencing Mens epee Individual,Gold
4472,Belgium,1912 Summer,Fencing Mens epee Team,Gold
4472,Belgium,1920 Summer,Fencing Mens epee Team,Silver
4472,Belgium,1924 Summer,Fencing Mens epee Team,Silver
4478,Canada,2002 Winter,Ice Hockey Womens Ice Hockey,Gold
4484,Hungary,1952 Summer,Water Polo Mens Water Polo,Gold
4487,Hungary,1964 Summer,Athletics Womens Javelin Throw,Silver
4491,Poland,1976 Summer,Handball Mens Handball,Bronze
4503,France,2010 Winter,Snowboarding Womens Boardercross,Silver
4505,United States,2004 Summer,Basketball Mens Basketball,Bronze
4505,United States,2008 Summer,Basketball Mens Basketball,Gold
4505,United States,2012 Summer,Basketball Mens Basketball,Gold
4505,United States,2016 Summer,Basketball Mens Basketball,Gold
4508,Belgium,1928 Summer,Rowing Mens Coxed Pairs,Bronze
4512,Guyana,1980 Summer,Boxing Mens Bantamweight,Bronze
4515,United States,2004 Summer,Shooting Mens Small-Bore Rifle Three Positions 50 metres,Silver
4517,Italy,1988 Summer,Athletics Mens 10000 metres,Silver
4518,India,1960 Summer,Hockey Mens Hockey,Silver
4519,Yugoslavia,1956 Summer,Football Mens Football,Silver
4531,Poland,1948 Summer,Boxing Mens Featherweight,Bronze
4531,Poland,1952 Summer,Boxing Mens Lightweight,Silver
4538,United States,2014 Winter,Skeleton Mens Skeleton,Bronze
4561,Australia,1992 Summer,Rowing Mens Double Sculls,Gold
4563,Poland,1928 Summer,Equestrianism Mens Jumping Team,Silver
4563,Poland,1928 Summer,Equestrianism Mens Three-Day Event Team,Bronze
4564,Yugoslavia,1928 Summer,Gymnastics Mens Team All-Around,Bronze
4568,Italy,2002 Winter,Short Track Speed Skating Mens 5000 metres Relay,Silver
4569,Argentina,2000 Summer,Hockey Womens Hockey,Silver
4569,Argentina,2004 Summer,Hockey Womens Hockey,Bronze
4575,Italy,2016 Summer,Volleyball Mens Volleyball,Silver
4577,Russia,2012 Summer,Basketball Mens Basketball,Bronze
4579,Russia,2014 Winter,Luge Mixed Team Relay,Silver
4581,Soviet Union,1988 Summer,Volleyball Mens Volleyball,Silver
4585,Ukraine,2008 Summer,Athletics Womens Discus Throw,Bronze
4587,Soviet Union,1976 Summer,Rowing Womens Single Sculls,Bronze
4590,Sweden,1948 Summer,Wrestling Mens Heavyweight Freestyle,Silver
4590,Sweden,1952 Summer,Wrestling Mens Heavyweight Freestyle,Silver
4591,Sweden,1960 Summer,Wrestling Mens Middleweight Freestyle,Bronze
4602,Soviet Union,1968 Summer,Volleyball Mens Volleyball,Gold
4604,Soviet Union,1964 Winter,Speed Skating Mens 1500 metres,Gold
4607,Finland,1920 Summer,Wrestling Mens Lightweight Freestyle,Gold
4607,Finland,1924 Summer,Wrestling Mens Featherweight Greco-Roman,Gold
4613,Russia,2004 Summer,Athletics Womens 400 metres,Bronze
4613,Russia,2004 Summer,Athletics Womens 4 x 400 metres Relay,Silver
4613,Russia,2012 Summer,Athletics Womens 400 metres Hurdles,Gold
4613,Russia,2012 Summer,Athletics Womens 4 x 400 metres Relay,Silver
4617,Soviet Union,1952 Summer,Athletics Mens 10000 metres,Bronze
4626,Pakistan,1964 Summer,Hockey Mens Hockey,Silver
4626,Pakistan,1968 Summer,Hockey Mens Hockey,Gold
4626,Pakistan,1972 Summer,Hockey Mens Hockey,Silver
4644,Japan,1972 Winter,Ski Jumping Mens Normal Hill Individual,Bronze
4651,Japan,1972 Summer,Swimming Womens 100 metres Butterfly,Gold
4667,Morocco,1984 Summer,Athletics Mens 5000 metres,Gold
4667,Morocco,1988 Summer,Athletics Mens 800 metres,Bronze
4674,Turkey,2004 Summer,Athletics Mens Hammer Throw,Bronze
4675,Russia,2012 Summer,Volleyball Mens Volleyball,Gold
4676,Nigeria,2008 Summer,Football Mens Football,Silver
4677,Soviet Union,1988 Summer,Water Polo Mens Water Polo,Bronze
4677,Unified Team,1992 Summer,Water Polo Mens Water Polo,Bronze
4685,Germany,1998 Winter,Biathlon Womens 7.5 kilometres Sprint,Bronze
4685,Germany,1998 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Gold
4685,Germany,2002 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Gold
4685,Germany,2006 Winter,Biathlon Womens 4 x 6 kilometres Relay,Silver
4686,Norway,1992 Winter,Nordic Combined Mens Team,Silver
4686,Norway,1994 Winter,Nordic Combined Mens Team,Silver
4688,France,1928 Summer,Boxing Mens Flyweight,Silver
4700,Romania,1980 Summer,Rowing Womens Coxed Eights,Bronze
4701,Romania,1984 Summer,Rowing Womens Coxed Fours,Gold
4710,Bulgaria,1972 Summer,Wrestling Mens Lightweight Greco-Roman,Silver
4717,West Germany,1984 Summer,Hockey Womens Hockey,Silver
4720,Netherlands,2000 Summer,Rowing Womens Coxed Eights,Silver
4724,Sweden,2016 Summer,Football Womens Football,Silver
4728,Austria-1,1992 Winter,Bobsleigh Mens Four,Gold
4736,Great Britain,1912 Summer,Athletics Mens 200 metres,Bronze
4736,Great Britain,1912 Summer,Athletics Mens 4 x 100 metres Relay,Gold
4737,United States,1928 Summer,Wrestling Mens Welterweight Freestyle,Silver
4742,Canada,2006 Winter,Ice Hockey Womens Ice Hockey,Gold
4742,Canada,2010 Winter,Ice Hockey Womens Ice Hockey,Gold
4742,Canada,2014 Winter,Ice Hockey Womens Ice Hockey,Gold
4750,Soviet Union,1988 Summer,Fencing Mens Foil Team,Gold
4757,Mexico,2012 Summer,Football Mens Football,Gold
4763,Turkey,2004 Summer,Weightlifting Mens Middleweight,Bronze
4766,France,1964 Summer,Fencing Mens Sabre Individual,Silver
4767,Spain,1920 Summer,Football Mens Football,Silver
4771,Israel,1992 Summer,Judo Womens Half-Middleweight,Silver
4772,Hungary,1912 Summer,Gymnastics Mens Team All-Around,Silver
4779,Cuba,2004 Summer,Boxing Mens Welterweight,Silver
4780,Cuba,2000 Summer,Baseball Mens Baseball,Silver
4782,Japan,2016 Summer,Athletics Mens 50 kilometres Walk,Bronze
4784,Japan,1976 Summer,Wrestling Mens Bantamweight Freestyle,Bronze
4785,Japan,1928 Summer,Swimming Mens 4 x 200 metres Freestyle Relay,Silver
4789,Japan,1936 Summer,Swimming Mens 100 metres Freestyle,Bronze
4789,Japan,1936 Summer,Swimming Mens 4 x 200 metres Freestyle Relay,Gold
4799,Japan,2006 Winter,Figure Skating Womens Singles,Gold
4801,Japan,2012 Summer,Volleyball Womens Volleyball,Bronze
4808,Japan,1976 Summer,Volleyball Womens Volleyball,Gold
4841,Spain,2000 Summer,Football Mens Football,Silver
4842,France,1924 Summer,Rugby Mens Rugby,Silver
4847,Yugoslavia,1988 Summer,Basketball Mens Basketball,Silver
4847,Croatia,1992 Summer,Basketball Mens Basketball,Silver
4858,Soviet Union,1980 Summer,Wrestling Mens Middleweight Freestyle,Silver
4859,Brazil,2012 Summer,Boxing Womens Lightweight,Bronze
4860,Italy,2004 Summer,Water Polo Womens Water Polo,Gold
4876,Romania,1980 Summer,Rowing Womens Coxed Eights,Bronze
4876,Romania,1984 Summer,Rowing Womens Coxless Pairs,Gold
4876,Romania,1988 Summer,Rowing Womens Coxless Pairs,Gold
4876,Romania,1988 Summer,Rowing Womens Coxed Eights,Silver
4891,Spain,2008 Summer,Hockey Mens Hockey,Silver
4892,Spain,1980 Summer,Hockey Mens Hockey,Silver
4893,Spain,1980 Summer,Hockey Mens Hockey,Silver
4897,Yugoslavia,1988 Summer,Basketball Womens Basketball,Silver
4909,Spain,1984 Summer,Basketball Mens Basketball,Silver
4914,France,1900 Summer,Equestrianism Mixed Hacks And Hunter Combined,Silver
4919,Great Britain,1948 Summer,Athletics Mens 4 x 100 metres Relay,Silver
4920,Great Britain,1936 Winter,Ice Hockey Mens Ice Hockey,Gold
4921,Great Britain-2,2000 Summer,Badminton Mixed Doubles,Bronze
4924,Canada,1992 Winter,Ice Hockey Mens Ice Hockey,Silver
4925,Canada,1908 Summer,Athletics Mens Pole Vault,Bronze
4926,New Zealand,1976 Summer,Hockey Mens Hockey,Gold
4928,Great Britain,2016 Summer,Cycling Womens Team Pursuit,Gold
4936,Italy,1976 Summer,Fencing Mens Sabre Team,Silver
4936,Italy,1984 Summer,Fencing Mens Sabre Team,Gold
4951,Great Britain,1964 Summer,Athletics Womens 4 x 100 metres Relay,Bronze
4968,Italy,1948 Summer,Water Polo Mens Water Polo,Gold
4968,Italy,1952 Summer,Water Polo Mens Water Polo,Bronze
4977,Cuba,2004 Summer,Judo Mens Half-Lightweight,Bronze
4977,Cuba,2008 Summer,Judo Mens Half-Lightweight,Bronze
4978,Germany,1936 Summer,Rowing Mens Coxed Pairs,Gold
5002,Belgium,1920 Summer,Gymnastics Mens Team All-Around Swedish System,Bronze
5018,Italy,1964 Summer,Equestrianism Mixed Three-Day Event Team,Gold
5018,Italy,1972 Summer,Equestrianism Mixed Three-Day Event Individual,Silver
5023,Cuba,2016 Summer,Boxing Mens Light-Flyweight,Bronze
5027,United States,1932 Summer,Equestrianism Mens Three-Day Event Team,Gold
5040,Indonesia-1,1996 Summer,Badminton Mens Doubles,Bronze
5058,United States,1920 Summer,Shooting Mens Trap,Gold
5058,United States,1920 Summer,Shooting Mens Trap Team,Gold
5060,Italy,1960 Summer,Cycling Mens Team Pursuit 4000 metres,Gold
5069,Japan,1992 Summer,Athletics Womens Marathon,Silver
5069,Japan,1996 Summer,Athletics Womens Marathon,Bronze
5074,Belarus,2004 Summer,Boxing Mens Light-Heavyweight,Silver
5077,Uruguay,1924 Summer,Football Mens Football,Gold
5077,Uruguay,1928 Summer,Football Mens Football,Gold
5093,Brazil,2016 Summer,Volleyball Mens Volleyball,Gold
5102,Russia,2004 Summer,Basketball Womens Basketball,Bronze
5106,Soviet Union,1980 Summer,Athletics Mens 400 metres Hurdles,Silver
5117,Germany-1,2014 Winter,Luge Mixed (Men)s Doubles,Gold
5117,Germany,2014 Winter,Luge Mixed Team Relay,Gold
5125,Italy-1,1968 Winter,Bobsleigh Mens Four,Gold
5128,Romania,1924 Summer,Rugby Mens Rugby,Bronze
5129,Romania,1984 Summer,Rowing Womens Coxed Eights,Silver
5129,Romania,1988 Summer,Rowing Womens Coxed Fours,Bronze
5129,Romania,1988 Summer,Rowing Womens Coxed Eights,Silver
5130,Canada,1984 Summer,Rowing Womens Coxed Fours,Silver
5143,Great Britain,1952 Summer,Athletics Womens 4 x 100 metres Relay,Bronze
5143,Great Britain,1956 Summer,Athletics Womens 4 x 100 metres Relay,Silver
5144,Great Britain,2012 Summer,Cycling Womens Road Race Individual,Silver
5149,United States,1984 Summer,Athletics Mens 4 x 400 metres Relay,Gold
5150,Trinidad and Tobago,2008 Summer,Athletics Mens 4 x 100 metres Relay,Gold
5152,United States,2008 Summer,Water Polo Womens Water Polo,Silver
5152,United States,2012 Summer,Water Polo Womens Water Polo,Gold
5153,Vesper Boat Club,1904 Summer,Rowing Mens Coxed Eights,Gold
5156,United States,1984 Winter,Alpine Skiing Womens Giant Slalom,Gold
5158,Australia,1988 Summer,Swimming Mens 200 metres Freestyle,Gold
5158,Australia,1988 Summer,Swimming Mens 400 metres Freestyle,Silver
5159,Canada,2008 Summer,Athletics Mens Shot Put,Bronze
5160,Great Britain,1920 Summer,Diving Womens Plain High,Silver
5165,Australia,1948 Summer,Wrestling Mens Heavyweight Freestyle,Bronze
5167,United States,2008 Summer,Cycling Womens Individual Time Trial,Gold
5167,United States,2012 Summer,Cycling Womens Individual Time Trial,Gold
5167,United States,2016 Summer,Cycling Womens Individual Time Trial,Gold
5173,United States,1976 Summer,Basketball Mens Basketball,Gold
5186,Spain,1996 Summer,Hockey Mens Hockey,Silver
5187,Spain,1996 Summer,Hockey Mens Hockey,Silver
5192,Yugoslavia,1984 Summer,Handball Mens Handball,Gold
5196,Germany,1956 Summer,Rowing Mens Coxed Pairs,Silver
5198,Germany,1996 Summer,Cycling Womens Individual Pursuit 3000 metres,Bronze
5198,Germany,2004 Summer,Cycling Womens Road Race Individual,Silver
5198,Germany,2012 Summer,Cycling Womens Individual Time Trial,Silver
5202,Denmark,1948 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Silver
5206,Soviet Union,1976 Summer,Rowing Mens Coxless Fours,Bronze
5212,United States,1960 Summer,Basketball Mens Basketball,Gold
5214,Ludwigshafener Ruderverein,1912 Summer,Rowing Mens Coxed Fours Outriggers,Gold
5218,Germany,2004 Summer,Hockey Mens Hockey,Bronze
5219,Canada,1956 Summer,Rowing Mens Coxless Fours,Gold
5219,Canada,1960 Summer,Rowing Mens Coxed Eights,Silver
5224,Germany,1906 Summer,Cycling Mens Tandem Sprint 2000 metres,Bronze
5232,Great Britain-1,1924 Winter,Bobsleigh Mens Four/Five,Silver
5233,France,2008 Summer,Archery Womens Team,Bronze
5242,France,1928 Summer,Weightlifting Mens Lightweight,Bronze
5245,Norway,2016 Summer,Handball Womens Handball,Bronze
5256,Sweden,1956 Summer,Rowing Mens Coxed Fours,Silver
5275,Spain,1920 Summer,Football Mens Football,Silver
5286,Uruguay,1928 Summer,Football Mens Football,Gold
5288,Spain,1992 Summer,Tennis Mens Singles,Silver
5290,Italy,1920 Summer,Athletics Mens Marathon,Bronze
5298,United States,2008 Summer,Baseball Mens Baseball,Bronze
5304,Cuba,1992 Summer,Baseball Mens Baseball,Gold
5306,France,2004 Summer,Athletics Womens 4 x 100 metres Relay,Bronze
5307,Argentina,2000 Summer,Hockey Womens Hockey,Silver
5307,Argentina,2004 Summer,Hockey Womens Hockey,Bronze
5325,Chile,2000 Summer,Football Mens Football,Bronze
5327,Soviet Union,1988 Summer,Weightlifting Mens Light-Heavyweight,Gold
5331,United States,2000 Summer,Swimming Womens 4 x 200 metres Freestyle Relay,Gold
5342,Yugoslavia,1972 Summer,Handball Mens Handball,Gold
5353,Unified Team,1992 Summer,Volleyball Womens Volleyball,Silver
5353,Russia,2000 Summer,Volleyball Womens Volleyball,Silver
5353,Russia,2004 Summer,Volleyball Womens Volleyball,Silver
5355,Kazakhstan,2004 Summer,Boxing Mens Welterweight,Gold
5363,United States,2008 Summer,Gymnastics Mens Team All-Around,Bronze
5366,Russia,2004 Summer,Basketball Womens Basketball,Bronze
5373,South Africa,1948 Summer,Boxing Mens Heavyweight,Bronze
5380,France,1948 Summer,Fencing Mens epee Team,Gold
5388,Spain,1920 Summer,Football Mens Football,Silver
5391,Turkey,2004 Summer,Weightlifting Mens Bantamweight,Bronze
5396,Soviet Union,1988 Summer,Gymnastics Mens Individual All-Around,Gold
5396,Soviet Union,1988 Summer,Gymnastics Mens Team All-Around,Gold
5396,Soviet Union,1988 Summer,Gymnastics Mens Floor Exercise,Silver
5396,Soviet Union,1988 Summer,Gymnastics Mens Parallel Bars,Gold
5396,Soviet Union,1988 Summer,Gymnastics Mens Horizontal Bar,Gold
5414,Armenia,2016 Summer,Wrestling Mens Welterweight Greco-Roman,Silver
5426,Sweden,1980 Summer,Swimming Mens 100 metres Butterfly,Gold
5427,Sweden,1908 Summer,Shooting Mens Free Rifle Three Positions 300 metres Team,Silver
5427,Sweden,1912 Summer,Shooting Mens Running Target Single Shot Team,Gold
5430,Sweden,1968 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Bronze
5430,Sweden,1972 Winter,Biathlon Mens 20 kilometres,Bronze
5432,Belarus,2008 Summer,Weightlifting Mens Heavyweight,Gold
5436,Ghana,1992 Summer,Football Mens Football,Bronze
5441,Soviet Union,1976 Summer,Basketball Mens Basketball,Bronze
5446,Soviet Union,1972 Summer,Athletics Mens 800 metres,Silver
5447,Unified Team,1992 Summer,Archery Womens Team,Bronze
5451,Japan,2010 Winter,Figure Skating Womens Singles,Silver
5453,Lithuania,2012 Summer,Modern Pentathlon Womens Individual,Gold
5456,Japan,2008 Summer,Athletics Mens 4 x 100 metres Relay,Silver
5466,Georgia,2000 Summer,Weightlifting Mens Light-Heavyweight,Bronze
5466,Georgia,2004 Summer,Weightlifting Mens Light-Heavyweight,Gold
5467,United States,1988 Summer,Judo Mens Extra-Lightweight,Silver
5478,Ghana,1992 Summer,Football Mens Football,Bronze
5482,Kenya,1968 Summer,Athletics Mens 4 x 400 metres Relay,Silver
5482,Kenya,1972 Summer,Athletics Mens 4 x 400 metres Relay,Gold
5483,Soviet Union,1964 Summer,Fencing Mens Sabre Team,Gold
5488,Sweden,1908 Summer,Gymnastics Mens Team All-Around,Gold
5488,Sweden,1912 Summer,Modern Pentathlon Mens Individual,Silver
5493,United States,1972 Summer,Water Polo Mens Water Polo,Bronze
5496,East Germany,1976 Winter,Ski Jumping Mens Normal Hill Individual,Gold
5499,Austria,1988 Winter,Nordic Combined Mens Team,Bronze
5500,Switzerland,2008 Summer,Judo Mens Middleweight,Bronze
5505,Finland,1996 Summer,Wrestling Mens Welterweight Greco-Roman,Silver
5520,Iceland,2008 Summer,Handball Mens Handball,Silver
5521,Pakistan,1972 Summer,Hockey Mens Hockey,Silver
5521,Pakistan,1976 Summer,Hockey Mens Hockey,Bronze
5527,United States,1904 Summer,Athletics Mens 110 metres Hurdles,Bronze
5538,Great Britain,1900 Summer,Rowing Mens Single Sculls,Bronze
