movieId, tilte,rating, year, duration, genre
3324,A Regiment of Two,,1913,57,ComedyDrama
3330,The Life of Richard Wagner,6.3,1913,110,BiographyDramaHistory
3334,The Road to Ruin,,1913,,Drama
3337,Robin Hood,5.8,1913,,Adventure
3351,Sapho,,1913,,Drama
3362,The Sea Wolf,5.1,1913,70,Drama
3363,The Seed of the Fathers,,1913,,DramaWar
3365,Shadows of the Moulin Rouge,4.7,1913,60,Drama
3366,The Shame of the Empire State,,1913,,Drama
3367,The Shattered Vase,,1913,,Drama
3376,Silvia Silombra,,1913,,
3378,A Sister to Carmen,,1913,,Drama
3379,Sixty Years a Queen,3.7,1913,,Biography
3386,Sodoms Ende,7.7,1913,,Drama
3387,The Sparrow,,1914,,
3390,Ein Sommernachtstraum in unserer Zeit,,1914,,
3394,Den sorte familie,,1914,,
3404,The Star of India,,1913,,Drama
3406,Statistinnen des Lebens,,1913,,
3414,The Stranglers of Paris,,1913,,CrimeDrama
3419,The Student of Prague,6.5,1913,85,DramaFantasyHorror
3423,Die Sumpfblume,,1913,53,
3431,Die Tangokönigin,5.7,1913,60,
3438,Ten Nights in a Barroom,5.8,1913,,Drama
3441,The Terrible Vengeance,6,1913,,
3442,Tess of the DUrbervilles,6,1913,,DramaRomance
3449,The Third Degree,,1913,,Drama
3456,Through Fire and Air,,1913,,
3464,The Tonopah Stampede for Gold,,1913,,Western
3465,Tonto de la huerta,,1913,,
3469,Tortures Within Prison Walls,,1913,,Drama
3470,A Tourada dos Casimiros,,1913,,Documentary
3471,Traffic in Souls,6,1913,88,CrimeDrama
3472,Trampa y cartón,,1913,,
3489,The Last Days of Pompeii,6.2,1913,88,AdventureDrama
3493,Ungarische Rhapsodie,,1913,,
3502,A Venetian Night,5.5,1914,52,
3504,Der Verführte,,1913,,
3506,The Vicar of Wakefield,,1913,,Drama
3507,The Vicar of Wakefield,,1913,,Drama
3508,Victory,6.4,1913,,War
3510,Volunteer Organist,,1913,,Drama
3511,The Vortex of Fate,,1913,,
3540,When the Earth Trembled,5.6,1913,,
3545,Who Will Marry Mary?,5.7,1913,,ActionAdventure
3561,With General Pancho Villa in Mexico,,1913,,
3565,Where Is Coletti?,5.8,1913,86,Crime
3584,The $5000000 Counterfeiting Plot,6.9,1914,,CrimeThriller
3587,Round the World in 80 Days,5.6,1914,,Adventure
3589,0-18 or A Message from the Sky,6.7,1914,,CrimeDrama
3590,A 300 éves ember,7.4,1914,,
3593,Across America by Motor Car,,1914,,Documentary
3595,Across the Pacific,4.1,1914,,AdventureDramaRomance
3596,The Active Life of Dolly of the Dailies,6.1,1914,,Drama
3597,Adoptivkind,,1914,,
3598,The Adventures of Andy Clark,5,1914,,AdventureComedy
3599,The Adventures of Buffalo Bill,7.1,1917,,DocumentaryWestern
3600,The Adventures of Kitty Cobb,6.4,1914,,Adventure
3602,The Adventures of a Diplomatic Freelance,,1914,,
3605,After the Ball,,1914,,Drama
3606,Aftermath,,1914,,Drama
3608,El alcalde de Zalamea,,1914,,
3609,Alexandra,5,1915,,
3610,Alexia o La niña del misterio,,1916,,
3613,Alone in New York,,1914,,CrimeDrama
3617,America,3.1,1914,,Adventure
3619,Amigas siempre,,1914,,
3622,Love of Perdition,,1914,,Drama
3623,Amor de pescadora,,1914,,
3625,Anna Karenina,6,1914,,Drama
3629,Apuntes de la fiesta de la flor,,1914,,Documentary
3630,Golddigger,4.9,1914,,Western
3631,Aristocracy,,1914,,Drama
3632,Arme Eva,6.2,1916,,Drama
3634,As Ye Sow,,1914,50,Drama
3637,Assunta Spina,6.4,1915,72,Drama
3639,At the Cross Roads,,1914,,Drama
3643,The Avenging Conscience: or Thou Shalt Not Kill,6.4,1914,78,CrimeDramaHorror
3651,Badehotellet,,1915,,Drama
3654,Bandits of the Border Mine,,1914,,Drama
3655,The Bankers Daughter,,1914,,Drama
3657,The Bargain,6.5,1914,70,Western
3663,Battle of Gettysgoat,,1914,,Comedy
3664,The Battle of Love,,1914,,Drama
3665,The Battle of the Sexes,6.3,1914,50,Drama
3668,Beating Back,5.7,1914,60,AdventureBiographyWestern
3669,A becsapott újságíró,,1915,,
3670,Behind the Scenes,6.6,1914,75,Drama
3672,La Belle Russe,,1914,,Drama
3675,The Beloved Adventurer,6.2,1914,450,Adventure
3676,Beneath the Czar,,1914,,Drama
3677,The Better Man,,1914,,Drama
3685,Det blaa vidunder,,1915,,Comedy
3686,The Boer War,,1914,,Drama
3688,The Book of Nature,,1914,,Documentary
3689,Born Again,,1914,,Drama
3692,The Boundary Rider,6.8,1914,,Adventure
3693,A Boy and the Law,,1914,,Drama
3698,Brewsters Millions,6.2,1914,,Comedy
3724,In the Days of the Thundering Herd,5.9,1914,48,Western
3730,The Burglar and the Lady,,1914,,CrimeDrama
3731,Burning Daylight: The Adventures of Burning Daylight in Alaska,4.8,1914,50,AdventureDrama
3732,Burning Daylight: The Adventures of Burning Daylight in Civilization,,1914,50,Drama
3735,Bánk bán,5.5,1915,,
3736,C.O.D.,,1914,,Comedy
3737,Cabalgata de los mercados en Barcelona,,1914,,Documentary
3738,El caballero Casarroja,,1914,,
3740,Cabiria,7.1,1914,148,AdventureDramaHistory
3742,Calatayud en fiestas,,1914,,Documentary
3743,The Call of the North,5.2,1914,,AdventureDrama
3744,Called Back,,1914,,Drama
3746,El calvario de un héroe,,1914,,
3747,Cameo Kirby,,1914,50,ActionDramaRomance
3748,Captain Alvarez,,1914,60,Drama
3749,The Captain Besley Expedition,,1914,,Documentary
3752,Captain Swift,,1914,,Drama
3754,The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands,,1914,,Documentary
3756,Cardinal Richelieus Ward,,1914,,Drama
3757,Catástrofe de Aguilón,,1914,,Documentary
3761,A Celebrated Case,,1914,,Drama
3763,Charlotte Corday,,1914,,DramaHistory
3764,La chavala,,1914,,
3765,The Chechako,,1914,,Drama
3768,The Chimes,,1914,,DramaFantasy
3771,The Christian,,1914,,Drama
3772,Cinderella,6,1914,52,DramaFantasy
3774,The Circus Man,,1914,50,Drama
3779,Cocaine Traffic; Or The Drug Terror,,1914,,Drama
3780,The Colosseum in Films,,1914,,Documentary
3790,The Coming Power,,1914,,Drama
3791,Common Beasts of Africa,,1914,,Documentary
3792,The Conspiracy,,1914,,DramaMystery
3798,The Country Mouse,,1914,,Comedy
3799,The County Chairman,,1914,,ComedyDrama
3802,The Criminal Code,,1914,,Drama
3804,The Crucible,6.5,1914,,DramaRomance
3806,Crushed,,1914,,
