movieId, title,rating, year, duration, genre
0002764,Corrida de feria de las fiestas del Pilar,0,1913,,
0002765,Corrida de toros en Calatayud,0,1913,,
0002767,The Count of Monte Cristo,0,1913,69,DramaHistory
0002771,El crimen del otro,0,1913,,
0002772,The Criminal Path,0,1914,,CrimeDrama
0002785,La dame de Monsoreau,0,1913,,
0002790,De muerte a vida,0,1913,,
0002798,Le dernier pardon,0,1913,,Comedy
0002799,Desastre do Monoplano Gnome na Amadora,0,1913,,Documentary
0002801,The Black Diamond,0,1913,50,
0002820,East Lynne,0,1913,69,Drama
0002822,What 80 Million Women Want,0,1913,56,Drama
0002823,Die Eisbraut,0,1913,,
0002832,Evangeline,0,1914,50,Drama
0002833,Evinrude,0,1914,,CrimeDrama
0002844,Fantômas: In the Shadow of the Guillotine,0,1913,54,CrimeDrama
0002857,Uma Ferra em Salvaterra de Magos,0,1913,,Documentary
0002858,Fiestas en Palafrugell,0,1913,,
0002859,The Fight for Millions,0,1913,,Drama
0002880,The Four Devils,0,1913,,
0002883,Les frères ennemis,0,1913,,
0002885,From Dusk to Dawn,0,1913,90,Drama
0002886,La fuerza del destino,0,1913,,
0002888,Fulano de Tal se enamora de Manón,0,1916,,Comedy
0002889,The Funny Regiment,0,1913,32,Short
0002898,Germinal; or The Toll of Labor,0,1913,150,Drama
0002901,The Girl of the Sunny South,0,1913,,Drama
0002909,The Grand Military Parade,0,1913,,
0002916,Die große Sünderin,0,1914,,
0002917,Brother Against Brother,0,1913,51,Drama
0002922,Hamlet,0,1913,64,Drama
0002928,Hasard,0,1913,,
0002953,Herrerín y Ballesteros en Alagón,0,1913,,
0002958,El hijo del mar,0,1913,,
0002973,Dr. Mawson in the Antarctic,0,1913,68,Documentary
0002975,Lhomme qui assassina,0,1913,,
0002977,Za chest russkogo znameni,0,1913,,Drama
0002978,Hoodman Blind,0,1913,,Drama
0002987,How Fine How Fresh the Roses Were,0,1913,,Romance
0002996,My Husbands Getting Married,0,1913,,Comedy
0003002,The Firefly,0,1913,,Drama
0003006,In the Bishops Carriage,0,1913,50,CrimeDrama
0003008,In the Stretch,0,1913,,Drama
0003010,Incendio en el barrio de Montemolín Zaragoza,0,1913,,
0003014,Ingeborg Holm,0,1913,96,Drama
0003015,Die Insel der Seligen,0,1913,49,ComedyFantasy
0003022,Ivanhoe,0,1913,53,AdventureDramaRomance
0003024,Jack Londons Adventures in the South Sea Islands,0,1913,,Documentary
0003037,Fantomas: The Man in Black,0,1913,61,CrimeDrama
0003039,The Keys to Happiness,0,1913,,Drama
0003042,Kleiner Svend und seine Mutter,0,1913,,Drama
0003048,A Lady of Quality,0,1913,,Drama
0003051,Die Landstraße,0,1913,,
0003053,Laura y sus pretendientes,0,1913,,
0003056,Leah Kleschna,0,1913,,CrimeDrama
0003058,The Legend of Provence,0,1913,,Drama
0003069,Lille Klaus og store Klaus,0,1913,,Comedy
0003070,The Lipton Cup: Introducing Sir Thomas Lipton,0,1913,,DramaSport
0003076,Livets konflikter,0,1913,64,Drama
0003084,The Lotus Dancer,0,1913,,Drama
0003098,The Lure of New York,0,1913,,Drama
0003100,La luz que vuelve,0,1913,,
0003102,Love Everlasting,0,1914,90,Drama
0003108,Macbeth,0,1913,50,CrimeDrama
0003113,Mala raza,0,1913,101,
0003116,The Man from the Golden West,0,1913,,Western
0003124,Los marinos de papel,0,1913,,
0003131,War Is Hell,0,1914,50,DramaWar
0003133,De medeminaars,0,1913,,
0003139,Mexican War Pictures,0,1913,,Documentary
0003140,Mexican War Pictures,0,1913,,Documentary
0003143,Mijntje en Trijntje,0,1913,,
0003150,Miraklet,0,1913,100,Drama
0003159,Les Misérables Part 2: Fantine,0,1913,300,Drama
0003160,El modelo de virtudes,0,1913,,
0003165,Fantômas: The Dead Man Who Killed,0,1913,90,CrimeDramaMystery
0003167,Home Sweet Home,0,1914,55,Drama
0003171,Moths,0,1913,,Drama
0003218,Novillada de beneficencia en Zaragoza,0,1913,,
0003227,The Girl from Abroad; or The Great Underworld,0,1913,54,Drama
0003230,The Old Armchair,0,1913,,
0003240,On the Steps of the Throne,0,1913,,
0003241,One Hundred Years of Mormonism,0,1913,90,DramaHistory
0003243,The Orphan,0,1913,,
0003267,The Pendleton Oregon Round-Up,0,1913,,Documentary
0003287,Pommy Arrives in Australia,0,1913,,Comedy
0003289,The Port of Doom,0,1913,,Drama
0003294,Primera comunión de las alumnas de las Escuelas Pías,0,1913,,
0003298,A Princess of Bagdad,0,1913,,DramaFantasy
0003299,A Prisoner in the Harem,0,1913,,Drama
0003301,The Prisoner of Zenda,0,1913,,Adventure
0003305,The Secret of the Well,0,1914,,
0003306,På livets ödesvägar,0,1913,57,Drama
0003309,Captive Souls,0,1914,99,
0003316,The Rattlesnake,0,1913,56,Western
0003324,A Regiment of Two,0,1913,57,ComedyDrama
0003330,The Life of Richard Wagner,0,1913,110,BiographyDramaHistory
0003334,The Road to Ruin,0,1913,,Drama
0003337,Robin Hood,0,1913,,Adventure
0003351,Sapho,0,1913,,Drama
0003362,The Sea Wolf,0,1913,70,Drama
0003363,The Seed of the Fathers,0,1913,,DramaWar
0003365,Shadows of the Moulin Rouge,0,1913,60,Drama
0003366,The Shame of the Empire State,0,1913,,Drama
0003367,The Shattered Vase,0,1913,,Drama
0003376,Silvia Silombra,0,1913,,
0003378,A Sister to Carmen,0,1913,,Drama
0003379,Sixty Years a Queen,0,1913,,Biography
0003386,Sodoms Ende,0,1913,,Drama
0003387,The Sparrow,0,1914,,
0003390,Ein Sommernachtstraum in unserer Zeit,0,1914,,
0003394,Den sorte familie,0,1914,,
0003404,The Star of India,0,1913,,Drama
0003406,Statistinnen des Lebens,0,1913,,
0003414,The Stranglers of Paris,0,1913,,CrimeDrama
0003419,The Student of Prague,0,1913,85,DramaFantasyHorror
0003423,Die Sumpfblume,0,1913,53,
0003431,Die Tangokönigin,0,1913,60,
0003438,Ten Nights in a Barroom,0,1913,,Drama
0003441,The Terrible Vengeance,0,1913,,
0003442,Tess of the DUrbervilles,0,1913,,DramaRomance
0003449,The Third Degree,0,1913,,Drama
0003456,Through Fire and Air,0,1913,,
0003464,The Tonopah Stampede for Gold,0,1913,,Western
0003465,Tonto de la huerta,0,1913,,
0003469,Tortures Within Prison Walls,0,1913,,Drama
0003470,A Tourada dos Casimiros,0,1913,,Documentary
0003471,Traffic in Souls,0,1913,88,CrimeDrama
0003472,Trampa y cartón,0,1913,,
0003489,The Last Days of Pompeii,0,1913,88,AdventureDrama
0003493,Ungarische Rhapsodie,0,1913,,
0003502,A Venetian Night,0,1914,52,
0003504,Der Verführte,0,1913,,
0003506,The Vicar of Wakefield,0,1913,,Drama
0003507,The Vicar of Wakefield,0,1913,,Drama
0003508,Victory,0,1913,,War
0003510,Volunteer Organist,0,1913,,Drama
0003511,The Vortex of Fate,0,1913,,
0003540,When the Earth Trembled,0,1913,,
0003545,Who Will Marry Mary?,0,1913,,ActionAdventure
0003561,With General Pancho Villa in Mexico,0,1913,,
0003565,Where Is Coletti?,0,1913,86,Crime
0003584,The $5000000 Counterfeiting Plot,0,1914,,CrimeThriller
0003587,Round the World in 80 Days,0,1914,,Adventure
0003589,0-18 or A Message from the Sky,0,1914,,CrimeDrama
0003590,A 300 éves ember,0,1914,,
0003593,Across America by Motor Car,0,1914,,Documentary
0003595,Across the Pacific,0,1914,,AdventureDramaRomance
0003596,The Active Life of Dolly of the Dailies,0,1914,,Drama
0003597,Adoptivkind,0,1914,,
0003598,The Adventures of Andy Clark,0,1914,,AdventureComedy
0003599,The Adventures of Buffalo Bill,0,1917,,DocumentaryWestern
0003600,The Adventures of Kitty Cobb,0,1914,,Adventure
0003602,The Adventures of a Diplomatic Freelance,0,1914,,
0003605,After the Ball,0,1914,,Drama
0003606,Aftermath,0,1914,,Drama
0003608,El alcalde de Zalamea,0,1914,,
0003609,Alexandra,0,1915,,
0003610,Alexia o La niña del misterio,0,1916,,
0003613,Alone in New York,0,1914,,CrimeDrama
0003617,America,0,1914,,Adventure
0003619,Amigas siempre,0,1914,,
0003622,Love of Perdition,0,1914,,Drama
0003623,Amor de pescadora,0,1914,,
0003625,Anna Karenina,0,1914,,Drama
0003629,Apuntes de la fiesta de la flor,0,1914,,Documentary
0003630,Golddigger,0,1914,,Western
0003631,Aristocracy,0,1914,,Drama
0003632,Arme Eva,0,1916,,Drama
0003634,As Ye Sow,0,1914,50,Drama
0003637,Assunta Spina,0,1915,72,Drama
0003639,At the Cross Roads,0,1914,,Drama
0003643,The Avenging Conscience: or Thou Shalt Not Kill,0,1914,78,CrimeDramaHorror
0003651,Badehotellet,0,1915,,Drama
0003654,Bandits of the Border Mine,0,1914,,Drama
0003655,The Bankers Daughter,0,1914,,Drama
0003657,The Bargain,0,1914,70,Western
0003663,Battle of Gettysgoat,0,1914,,Comedy
0003664,The Battle of Love,0,1914,,Drama
0003665,The Battle of the Sexes,0,1914,50,Drama
0003668,Beating Back,0,1914,60,AdventureBiographyWestern
0003669,A becsapott újságíró,0,1915,,
0003670,Behind the Scenes,0,1914,75,Drama
0003672,La Belle Russe,0,1914,,Drama
0003675,The Beloved Adventurer,0,1914,450,Adventure
0003676,Beneath the Czar,0,1914,,Drama
0003677,The Better Man,0,1914,,Drama
0003685,Det blaa vidunder,0,1915,,Comedy
0003686,The Boer War,0,1914,,Drama
0003688,The Book of Nature,0,1914,,Documentary
0003689,Born Again,0,1914,,Drama
0003692,The Boundary Rider,0,1914,,Adventure
0003693,A Boy and the Law,0,1914,,Drama
0003698,Brewsters Millions,0,1914,,Comedy
0003724,In the Days of the Thundering Herd,0,1914,48,Western
0003730,The Burglar and the Lady,0,1914,,CrimeDrama
0003731,Burning Daylight: The Adventures of Burning Daylight in Alaska,0,1914,50,AdventureDrama
0003732,Burning Daylight: The Adventures of Burning Daylight in Civilization,0,1914,50,Drama
0003735,Bánk bán,0,1915,,
0003736,C.O.D.,0,1914,,Comedy
0003737,Cabalgata de los mercados en Barcelona,0,1914,,Documentary
0003738,El caballero Casarroja,0,1914,,
0003740,Cabiria,0,1914,148,AdventureDramaHistory
0003742,Calatayud en fiestas,0,1914,,Documentary
0003743,The Call of the North,0,1914,,AdventureDrama
0003744,Called Back,0,1914,,Drama
0003746,El calvario de un héroe,0,1914,,
0003747,Cameo Kirby,0,1914,50,ActionDramaRomance
0003748,Captain Alvarez,0,1914,60,Drama
0003749,The Captain Besley Expedition,0,1914,,Documentary
0003752,Captain Swift,0,1914,,Drama
0003754,The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands,0,1914,,Documentary
0003756,Cardinal Richelieus Ward,0,1914,,Drama
0003757,Catástrofe de Aguilón,0,1914,,Documentary
0003761,A Celebrated Case,0,1914,,Drama
0003763,Charlotte Corday,0,1914,,DramaHistory
0003764,La chavala,0,1914,,
0003765,The Chechako,0,1914,,Drama
0003768,The Chimes,0,1914,,DramaFantasy
0003771,The Christian,0,1914,,Drama
0003772,Cinderella,0,1914,52,DramaFantasy
